Xanthomonas campestris pv. campestris str. 8004, complete genome. - 1..5148708
4273 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
52242..52919	-	225	66571724	-	XC_0042	-	-	NonF-related protein
53054..53944	+	296	66571725	-	XC_0043	-	-	transcriptional regulator
53982..54551	-	189	66571726	-	XC_0044	-	-	transcriptional regulator
54812..55198	+	128	66571727	-	XC_0045	-	-	methicillin resistance protein
55202..56914	+	570	66571728	-	XC_0046	-	-	ankyrin-like protein
57441..58292	+	283	66571729	-	XC_0047	-	-	conserved hypothetical protein
58534..59664	+	376	66571730	-	XC_0048	-	-	conserved hypothetical protein
60083..60871	-	262	66571731	-	XC_0049	-	-	conserved hypothetical protein
60882..63545	-	887	66571732	-	XC_0050	-	-	TonB-dependent receptor
63651..64808	+	385	66571733	-	XC_0051	-	-	xylose repressor-like protein
64947..67103	+	718	66571734	-	XC_0052	-	-	avirulence protein
67288..68253	-	321	66571735	-	XC_0053	-	-	conserved hypothetical protein
68775..71183	-	802	66571736	-	XC_0054	-	-	ATP-dependent RNA helicase
71493..72641	-	382	66571737	-	XC_0055	-	-	conserved hypothetical protein
72923..73585	+	220	66571738	-	XC_0056	-	-	hemolysin III
73652..73969	-	105	66571739	-	XC_0057	-	-	conserved hypothetical protein
73966..74343	-	125	66571740	-	XC_0058	-	-	conserved hypothetical protein
74669..75379	-	236	66571741	-	XC_0059	-	-	conserved hypothetical protein
75551..76069	-	172	66571742	-	XC_0060	-	-	NAD(P)H oxidoreductase
76036..76377	-	113	66571743	-	XC_0061	-	-	conserved hypothetical protein
76468..76818	+	116	66571744	-	XC_0062	-	-	conserved hypothetical protein
77346..78434	+	362	66571745	-	XC_0063	-	-	regulatory protein cII
79468..79638	+	56	66571746	-	XC_0064	-	-	conserved hypothetical protein
79829..80668	-	279	66571747	-	XC_0065	-	-	conserved hypothetical protein
81391..82239	-	282	66571748	-	XC_0066	-	-	conserved hypothetical protein
82836..83606	-	256	66571749	-	XC_0067	-	-	hypothetical protein
83613..83870	-	85	66571750	-	XC_0068	-	-	conserved hypothetical protein
84234..84473	-	79	66571751	-	XC_0069	-	-	conserved hypothetical protein
84760..85386	+	208	66571752	-	XC_0070	-	-	conserved hypothetical protein
85784..85972	-	62	66571753	-	XC_0071	-	-	conserved hypothetical protein
86107..86304	-	65	66571754	-	XC_0072	-	-	transcriptional regulator
86815..87768	+	317	66571755	-	XC_0073	-	-	conserved hypothetical protein
87912..88793	-	293	66571756	-	XC_0074	-	-	conserved hypothetical protein
89098..89637	+	179	66571757	-	XC_0075	-	-	conserved hypothetical protein
90510..90821	-	103	66571758	-	XC_0076	-	-	conserved hypothetical protein
90818..91894	-	358	66571759	-	XC_0077	-	-	metalloprotease
91994..92650	-	218	66571760	-	XC_0078	-	-	conserved hypothetical protein
92883..93317	+	144	66571761	-	XC_0079	-	-	MutT/nudix family protein
93805..94845	+	346	66571762	-	XC_0080	-	-	conserved hypothetical protein
95190..96179	+	329	66571763	-	XC_0081	-	-	esterase
96285..96683	+	132	66571764	-	XC_0082	-	-	AtsE protein
96699..97031	+	110	66571765	-	XC_0083	-	-	thioredoxin
97848..99338	+	496	66571766	-	XC_0084	-	-	proline/betaine transporter
99354..99764	-	136	66571767	-	XC_0085	-	-	conserved hypothetical protein
99984..100778	+	264	66571768	-	XC_0086	-	-	conserved hypothetical protein
100975..101613	+	212	66571769	-	XC_0087	-	-	conserved hypothetical protein
101691..103445	-	584	66571770	-	XC_0088	-	-	conserved hypothetical protein
103594..105936	-	780	66571771	-	XC_0089	-	-	conserved hypothetical protein
105855..107036	-	393	66571772	-	XC_0090	-	-	conserved hypothetical protein
107185..108081	-	298	66571773	-	XC_0091	-	-	conserved hypothetical protein
108095..109087	-	330	66571774	-	XC_0092	-	-	methanol dehydrogenase regulator
109374..110057	-	227	66571775	-	XC_0093	-	-	conserved hypothetical protein
110192..111526	-	444	66571776	-	XC_0094	-	-	TldD protein
111541..113217	-	558	66571777	-	XC_0096	-	-	TldD protein
114024..115604	-	526	66571778	-	XC_0097	-	-	TldD protein
116642..117658	-	338	66571779	-	XC_0098	-	-	fructose-1,6-bisphosphatase
117710..117820	-	36	66571780	-	XC_0099	-	-	hypothetical protein
117835..119037	-	400	66571781	-	XC_0100	-	-	aromatic-amino-acid aminotransferase
119138..121321	+	727	66571782	-	XC_0101	-	-	iron transporter
121489..121884	+	131	66571783	-	XC_0102	-	-	conserved hypothetical protein
122249..122725	+	158	66571784	-	XC_0103	-	-	conserved hypothetical protein
122952..124481	+	509	66571785	-	XC_0104	-	-	chloroacetaldehyde dehydrogenase
124646..125038	+	130	66571786	-	XC_0105	-	-	conserved hypothetical protein
125338..125499	-	53	66571787	-	XC_0106	-	-	hypothetical protein
125546..126046	+	166	66571788	-	XC_0107	-	-	conserved hypothetical protein
126046..126987	+	313	66571789	-	XC_0108	-	-	conserved hypothetical protein
126994..129999	+	1001	66571790	-	XC_0109	-	-	ATP-dependent DNA ligase
130905..132065	-	386	66571791	-	XC_0110	-	-	L-lactate dehydrogenase
132161..132337	+	58	66571792	-	XC_0111	-	-	hypothetical protein
132350..132994	-	214	66571793	-	XC_0112	-	-	conserved hypothetical protein
133073..134302	+	409	66571794	-	XC_0113	-	-	two-component system sensor protein
134299..134931	+	210	66571795	-	XC_0114	-	-	two-component system regulatory protein
135205..136578	-	457	66571796	-	XC_0115	-	-	conserved hypothetical protein
136736..137467	+	243	66571797	-	XC_0116	-	-	conserved hypothetical protein
138186..138569	-	127	66571798	-	XC_0117	-	-	conserved hypothetical protein
138566..141907	-	1113	66571799	-	XC_0118	-	-	transcriptional regulator
142456..143664	+	402	66571800	-	XC_0119	-	-	conserved hypothetical protein
143859..144149	+	96	66571801	-	XC_0120	-	-	conserved hypothetical protein
144223..145476	-	417	66571802	-	XC_0121	-	-	conserved hypothetical protein
145632..146654	-	340	66571803	-	XC_0122	-	-	2-keto-3-deoxygluconate kinase
146941..149709	+	922	66571804	-	XC_0123	-	-	TonB-dependent receptor
149888..153088	+	1066	66571805	-	XC_0124	-	-	TonB-dependent receptor
153102..154079	+	325	66571806	-	XC_0125	-	-	pectin methylesterase-like protein
154079..155122	+	347	66571807	-	XC_0126	-	-	pectate lyase E
155223..159110	+	1295	66571808	-	XC_0127	-	-	conserved hypothetical protein
159333..159506	+	57	66571809	-	XC_0128	-	-	conserved hypothetical protein
159567..159950	+	127	66571810	-	XC_0129	-	-	conserved hypothetical protein
159947..160204	+	85	66571811	-	XC_0130	-	-	conserved hypothetical protein
160710..161405	+	231	66571812	-	XC_0131	-	-	conserved hypothetical protein
161525..161977	+	150	66571813	-	XC_0132	-	-	deoxycytidylate deaminase
162213..163193	-	326	66571814	-	XC_0133	-	-	IS1479 transposase
165263..169507	+	1414	66571815	-	XC_0136	-	-	RhsD protein
169557..170981	+	474	66571816	-	XC_0137	-	-	IS1478 transposase
173580..174251	-	223	66571817	-	XC_0139	-	-	conserved hypothetical protein
174437..174769	-	110	66571818	-	XC_0140	-	-	conserved hypothetical protein
175046..178147	+	1033	66571819	-	XC_0141	-	-	alpha-amylase
178144..181494	+	1116	66571820	-	XC_0142	-	-	trehalose synthase
181515..183689	+	724	66571821	-	XC_0143	-	-	1,4-alpha-glucan branching enzyme
183762..184280	-	172	66571822	-	XC_0144	-	-	IS1480 transposase
185028..185408	+	126	66571823	-	XC_0146	-	-	conserved hypothetical protein
185398..185670	+	90	66571824	-	XC_0147	-	-	conserved hypothetical protein
185667..187202	+	511	66571825	-	XC_0148	-	-	conserved hypothetical protein
187336..187839	+	167	66571826	-	XC_0149	-	-	conserved hypothetical protein
188068..189117	+	349	66571827	-	XC_0150	-	-	L-fucose dehydrogenase
189322..190236	-	304	66571828	-	XC_0151	-	-	conserved hypothetical protein
190298..191776	-	492	66571829	-	XC_0152	-	-	carboxylesterase type B
191917..192906	-	329	66571830	-	XC_0153	-	-	xylanase
193113..193934	+	273	66571831	-	XC_0154	-	-	2-keto-4-pentenoate hydratase
193971..194969	+	332	66571832	-	XC_0155	-	-	C4-dicarboxylate transport system
195088..195501	+	137	66571833	-	XC_0156	-	-	C4-dicarboxylate membrane transport protein
195501..196784	+	427	66571834	-	XC_0157	-	-	C4-dicarboxylate transport protein
196883..198463	+	526	66571835	-	XC_0158	-	-	xylosidase/arabinosidase
198595..199662	+	355	66571836	-	XC_0159	-	-	transcriptional regulator lacI family
200552..201406	+	284	66571837	-	XC_0160	-	-	5-keto-4-deoxyuronate isomerase
201482..202237	+	251	66571838	-	XC_0161	-	-	2-deoxy-D-gluconate 3-dehydrogenase
202397..203053	+	218	66571839	-	XC_0162	-	-	sugar-phosphate isomerase
203597..204691	+	364	66571840	-	XC_0163	-	-	rhamnogalacturonan acetylesterase
204950..205795	-	281	66571841	-	XC_0164	-	-	conserved hypothetical protein
206017..206907	-	296	66571842	-	XC_0165	-	-	phenylalanine hydroxylase
207035..207517	+	160	66571843	-	XC_0166	-	-	transcriptional regulator asnC family
207756..209996	+	746	66571844	-	XC_0167	-	-	ferripyoverdine receptor
210389..211426	-	345	66571845	-	XC_0168	-	-	conserved hypothetical protein
211775..212638	-	287	66571846	-	XC_0169	-	-	conserved hypothetical protein
213066..213902	-	278	66571847	-	XC_0170	-	-	ABC transporter ATP-binding protein
214111..215262	+	383	66571848	-	XC_0171	-	-	fatty acid desaturase
215291..215644	+	117	66571849	-	XC_0172	-	-	conserved hypothetical protein
215705..216442	+	245	66571850	-	XC_0173	-	-	ABC transporter ATP-binding protein
216439..217911	+	490	66571851	-	XC_0174	-	-	ABC transporter amino acid permease
218250..218921	-	223	66571852	-	XC_0175	-	-	conserved hypothetical protein
218993..220276	+	427	66571853	-	XC_0176	-	-	conserved hypothetical protein
220273..221259	+	328	66571854	-	XC_0177	-	-	conserved hypothetical protein
221275..221547	+	90	66571855	-	XC_0178	-	-	conserved hypothetical protein
221734..225306	-	1190	66571856	-	XC_0179	-	-	indolepyruvate ferredoxin oxidoreductase chain alpha
225606..226244	+	212	66571857	-	XC_0180	-	-	conserved hypothetical protein
226564..227481	+	305	66571858	-	XC_0181	-	-	conserved hypothetical protein
227519..228613	+	364	66571859	-	XC_0182	-	-	conserved hypothetical protein
228973..229605	+	210	66571860	-	XC_0183	-	-	partition protein
229621..230097	+	158	66571861	-	XC_0184	-	-	conserved hypothetical protein
230101..230673	+	190	66571862	-	XC_0185	-	-	conserved hypothetical protein
230670..232652	+	660	66571863	-	XC_0186	-	-	cardiolipin synthase
232917..233351	+	144	66571864	-	XC_0187	-	-	conserved hypothetical protein
233468..234271	+	267	66571865	-	XC_0188	-	-	acetyltransferase
234326..235312	+	328	66571866	-	XC_0189	-	-	conserved hypothetical protein
235370..237442	+	690	66571867	-	XC_0190	-	-	conserved hypothetical protein
238445..239056	+	203	66571868	-	XC_0191	-	-	conserved hypothetical protein
239957..240781	-	274	66571869	-	XC_0192	-	-	conserved hypothetical protein
240872..241663	-	263	66571870	-	XC_0193	-	-	undecaprenol kinase
241887..243296	+	469	66571871	-	XC_0194	-	-	glutamine synthetase
243578..243922	+	114	66571872	-	XC_0195	-	-	nitrogen regulatory protein P-II
243912..245387	+	491	66571873	-	XC_0196	-	-	ammonium transporter
245659..246708	+	349	66571874	-	XC_0197	-	-	two-component system sensor protein
246701..248131	+	476	66571875	-	XC_0198	-	-	two-component system regulatory protein
249052..249240	+	62	66571876	-	XC_0199	-	-	hypothetical protein
249408..249887	+	159	66571877	-	XC_0200	-	-	superoxide dismutase-like protein
250086..250583	+	165	66571878	-	XC_0201	-	-	superoxide dismutase
251547..251942	-	131	66571879	-	XC_0202	-	-	lactoylglutathione lyase
251981..252886	-	301	66571880	-	XC_0203	-	-	conserved hypothetical protein
252954..254249	+	431	66571881	-	XC_0204	-	-	acyl-CoA thiolase
254334..254915	+	193	66571882	-	XC_0205	-	-	conserved hypothetical protein
254971..256236	-	421	66571883	-	XC_0206	-	-	porphyrin biosynthesis protein
256233..257210	-	325	66571884	-	XC_0207	-	-	conserved hypothetical protein
257314..258114	-	266	66571885	-	XC_0208	-	-	uroporphyrinogen-III synthase
258299..259108	+	269	66571886	-	XC_0209	-	-	glycosyltransferase
259213..259698	+	161	66571887	-	XC_0210	-	-	conserved hypothetical protein
259728..260150	+	140	66571888	-	XC_0211	-	-	conserved hypothetical protein
260200..260676	+	158	66571889	-	XC_0212	-	-	conserved hypothetical protein
260786..261298	+	170	66571890	-	XC_0213	-	-	protein-export protein
261316..262341	+	341	66571891	-	XC_0214	-	-	glycerol-3-phosphate dehydrogenase
262824..263420	-	198	66571892	-	XC_0215	-	-	conserved hypothetical protein
263769..265496	+	575	66571893	-	XC_0216	-	-	pyruvate dehydrogenase
265542..265796	+	84	66571894	-	XC_0217	-	-	conserved hypothetical protein
265826..266110	+	94	66571895	-	XC_0218	-	-	MFS transporter
266120..266596	-	158	66571896	-	XC_0219	-	-	tRNA/rRNA methyltransferase
266651..267109	-	152	66571897	-	XC_0220	-	-	conserved hypothetical protein
267502..267816	+	104	66571898	-	XC_0221	-	-	conserved hypothetical protein
267918..268934	+	338	66571899	-	XC_0222	-	-	3-oxoacyl-[ACP] synthase III
269007..270170	+	387	66571900	-	XC_0223	-	-	conserved hypothetical protein
270167..271798	+	543	66571901	-	XC_0224	-	-	methyltransferase
271800..274301	+	833	66571902	-	XC_0225	-	-	conserved hypothetical protein
274298..275200	+	300	66571903	-	XC_0226	-	-	haloalkane dehalogenase
275327..275710	-	127	66571904	-	XC_0227	-	-	ferredoxin
276047..277717	+	556	66571905	-	XC_0228	-	-	AMP-ligase
277811..278824	+	337	66571906	-	XC_0229	-	-	NAD(P)H steroid dehydrogenase
278889..279047	+	52	66571907	-	XC_0230	-	-	conserved hypothetical protein
279150..279632	-	160	66571908	-	XC_0231	-	-	acetyltransferase, GNAT family
279629..280750	-	373	66571909	-	XC_0232	-	-	D-alanine-D-alanine ligase A
280908..281552	+	214	66571910	-	XC_0233	-	-	conserved hypothetical protein
281549..283222	+	557	66571911	-	XC_0234	-	-	ubiquinone biosynthesis protein
283355..284092	+	245	66571912	-	XC_0235	-	-	pseudouridylate synthase
284918..285460	-	180	66571913	-	XC_0236	-	-	conserved hypothetical protein
285555..285986	+	143	66571914	-	XC_0237	-	-	peptidyl-tRNA hydrolase
285989..286618	+	209	66571915	-	XC_0238	-	-	acyltransferase
286750..287685	+	311	66571916	-	XC_0239	-	-	asparaginase
288000..290078	+	692	66571917	-	XC_0240	-	-	peptidyl-dipeptidase
290203..292404	-	733	66571918	-	XC_0241	-	-	conserved hypothetical protein
292774..293826	-	350	66571919	-	XC_0242	-	-	conserved hypothetical protein
293915..294547	+	210	66571920	-	XC_0243	-	-	transcriptional regulator tetR family
294769..295110	-	113	66571921	-	XC_0244	-	-	conserved hypothetical protein
295184..295921	-	245	66571922	-	XC_0245	-	-	transcriptional regulator araC family
295956..296912	-	318	66571923	-	XC_0246	-	-	transcriptional regulator
297033..298655	+	540	66571924	-	XC_0247	-	-	malate synthase
298811..300136	+	441	66571925	-	XC_0248	-	-	isocitrate lyase
300327..301370	+	347	66571926	-	XC_0249	-	-	conserved hypothetical protein
301374..304034	+	886	66571927	-	XC_0250	-	-	conserved hypothetical protein
303974..304363	-	129	66571928	-	XC_0251	-	-	conserved hypothetical protein
304858..305595	+	245	66571929	-	XC_0252	-	-	conserved hypothetical protein
305800..307893	-	697	66571930	-	XC_0253	-	-	dipeptidyl anminopeptidase
307996..310023	-	675	66571931	-	XC_0254	-	-	biotin carboxylase
310342..311952	-	536	66571932	-	XC_0255	-	-	acyl-CoA carboxyltransferase beta chain
311963..313126	-	387	66571933	-	XC_0256	-	-	acyl-CoA dehydrogenase
313255..313872	+	205	66571934	-	XC_0257	-	-	transcriptional regulator acrR family
313931..314332	+	133	66571935	-	XC_0258	-	-	conserved hypothetical protein
314329..314865	+	178	66571936	-	XC_0259	-	-	conserved hypothetical protein
315163..315498	-	111	66571937	-	XC_0260	-	-	conserved hypothetical protein
315495..317111	-	538	66571938	-	XC_0261	-	-	conserved hypothetical protein
317108..317419	-	103	66571939	-	XC_0262	-	-	conserved hypothetical protein
317438..318085	-	215	66571940	-	XC_0263	-	-	conserved hypothetical protein
318359..318877	+	172	66571941	-	XC_0264	-	-	cytochrome C5
318979..320799	+	606	66571942	-	XC_0265	-	-	nuclease
321009..321392	-	127	66571943	-	XC_0266	-	-	conserved hypothetical protein
321454..322779	+	441	66571944	-	XC_0267	-	-	nitrile hydratase activator
322946..324181	-	411	66571945	-	XC_0268	-	-	conserved hypothetical protein
324279..325160	-	293	66571946	-	XC_0269	-	-	integral membrane protein
325221..325883	+	220	66571947	-	XC_0270	-	-	conserved hypothetical protein
325963..327057	+	364	66571948	-	XC_0271	-	-	ATPase
327054..327734	+	226	66571949	-	XC_0272	-	-	conserved hypothetical protein
328019..328480	+	153	66571950	-	XC_0273	-	-	transcriptional regulator marR family
328577..329005	+	142	66571951	-	XC_0274	-	-	organic hydroperoxide resistance protein
329440..330057	+	205	66571952	-	XC_0276	-	-	lipase
330561..331061	+	166	66571953	-	XC_0277	-	-	conserved hypothetical protein
331243..331545	-	100	66571954	-	XC_0278	-	-	conserved hypothetical protein
331709..332512	-	267	66571955	-	XC_0279	-	-	oxidoreductase
332580..333608	-	342	66571956	-	XC_0280	-	-	quinone oxidoreductase
333721..334689	-	322	66571957	-	XC_0281	-	-	oxidoreductase
334915..335739	+	274	66571958	-	XC_0282	-	-	conserved hypothetical protein
336383..336946	+	187	66571959	-	XC_0283	-	-	pseudouridylate synthase
337295..337726	-	143	66571960	-	XC_0284	-	-	conserved hypothetical protein
338123..340633	-	836	66571961	-	XC_0285	-	-	ATP-dependent RNA helicase
340930..342903	+	657	66571962	-	XC_0286	-	-	chemotaxis protein
343211..343684	-	157	66571963	-	XC_0287	-	-	conserved hypothetical protein
343801..344160	-	119	66571964	-	XC_0288	-	-	conserved hypothetical protein
344130..345551	-	473	66571965	-	XC_0289	-	-	monoxygenase
345548..346039	-	163	66571966	-	XC_0290	-	-	conserved hypothetical protein
346036..346431	-	131	66571967	-	XC_0291	-	-	conserved hypothetical protein
346428..347318	-	296	66571968	-	XC_0292	-	-	conserved hypothetical protein
347315..348571	-	418	66571969	-	XC_0293	-	-	serine-pyruvate aminotransferase
348561..349832	-	423	66571970	-	XC_0294	-	-	N-carbamyl-L-amino acid amidohydrolase
350145..351038	+	297	66571971	-	XC_0295	-	-	transcriptional regulator lysR family
351078..351332	+	84	66571972	-	XC_0296	-	-	oxidoreductase
351589..352062	-	157	66571973	-	XC_0297	-	-	conserved hypothetical protein
352897..354093	+	398	66571974	-	XC_0298	-	-	transcriptional regulator
354521..355282	+	253	66571975	-	XC_0299	-	-	conserved hypothetical protein
355279..356298	+	339	66571976	-	XC_0300	-	-	phospholipase
356337..357917	-	526	66571977	-	XC_0301	-	-	gamma-glutamyltranspeptidase
357917..359377	-	486	66571978	-	XC_0302	-	-	Glu-tRNAGln amidotransferase A subunit
359514..360677	-	387	66571979	-	XC_0303	-	-	nucleoside hydrolase
360801..361994	-	397	66571980	-	XC_0304	-	-	adenosine deaminase
362493..363806	-	437	66571981	-	XC_0305	-	-	xanthine/uracil permease
363966..364097	+	43	66571982	-	XC_0306	-	-	hypothetical protein
364258..365238	-	326	66571983	-	XC_0307	-	-	vanillate O-demethylase oxidoreductase
365235..366287	-	350	66571984	-	XC_0308	-	-	vanillate O-demethylase oxygenase subunit
366415..367332	+	305	66571985	-	XC_0309	-	-	transcriptional regulator lysR family
367668..368474	+	268	66571986	-	XC_0310	-	-	type V secretory pathway protein
368490..369167	-	225	66571987	-	XC_0311	-	-	conserved hypothetical protein
369780..370667	-	295	66571988	-	XC_0312	-	-	transcriptional regulator lysR family
370684..372033	+	449	66571989	-	XC_0313	-	-	MFS transporter
372234..373262	-	342	66571990	-	XC_0314	-	-	conserved hypothetical protein
373331..374215	-	294	66571991	-	XC_0315	-	-	TonB-dependent receptor
374219..375865	-	548	66571992	-	XC_0316	-	-	TonB-dependent receptor
376475..377356	+	293	66571993	-	XC_0318	-	-	SIR2-like regulatory protein
377438..378535	+	365	66571994	-	XC_0319	-	-	FMN oxidoreductase
378588..379463	+	291	66571995	-	XC_0320	-	-	dehydrogenase
379820..380212	+	130	66571996	-	XC_0321	-	-	conserved hypothetical protein
380413..381282	+	289	66571997	-	XC_0322	-	-	formyltetrahydrofolate deformylase
381373..382290	-	305	66571998	-	XC_0323	-	-	transcriptional regulator
382387..383145	+	252	66571999	-	XC_0324	-	-	insect-type dehydrogenase
383761..385503	-	580	66572000	-	XC_0325	-	-	conditioned medium factor
385999..386871	-	290	66572001	-	XC_0326	-	-	5,10-methylenetetrahydrofolate reductase
386987..387892	-	301	66572002	-	XC_0327	-	-	transcriptional regulator metE/metH family
388002..388583	+	193	66572003	-	XC_0328	-	-	NADH-dependent FMN reductase
388753..389772	+	339	66572004	-	XC_0329	-	-	conserved hypothetical protein
389765..390796	+	343	66572005	-	XC_0330	-	-	5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase
391237..392199	+	320	66572006	-	XC_0331	-	-	conserved hypothetical protein
392398..393837	-	479	66572007	-	XC_0332	-	-	conserved hypothetical protein
394602..395489	-	295	66572008	-	XC_0333	-	-	oxidoreductase
395626..396054	+	142	66572009	-	XC_0334	-	-	conserved hypothetical protein
396723..397223	+	166	66572010	-	XC_0335	-	-	conserved hypothetical protein
397523..399331	+	602	66572011	-	XC_0336	-	-	chemotaxis protein
399351..399899	-	182	66572012	-	XC_0337	-	-	conserved hypothetical protein
399896..400273	-	125	66572013	-	XC_0338	-	-	conserved hypothetical protein
400508..400894	-	128	66572014	-	XC_0339	-	-	conserved hypothetical protein
401192..401443	-	83	66572015	-	XC_0340	-	-	conserved hypothetical protein
402049..402507	-	152	66572016	-	XC_0341	-	-	AttT protein
402726..403127	-	133	66572017	-	XC_0342	-	-	conserved hypothetical protein
403265..403720	-	151	66572018	-	XC_0343	-	-	conserved hypothetical protein
403723..404658	-	311	66572019	-	XC_0344	-	-	conserved hypothetical protein
405363..405503	+	46	66572020	-	XC_0345	-	-	xanthomonadin biosynthesis related protein 1
405691..405939	-	82	66572021	-	XC_0346	-	-	conserved hypothetical protein
406628..407068	-	146	66572022	-	XC_0347	-	-	conserved hypothetical protein
408163..408426	+	87	66572023	-	XC_0348	-	-	xanthomonadin biosynthesis related protein 1
409050..409283	+	77	66572024	-	XC_0349	-	-	xanthomonadin biosynthesis related protein
409363..409809	-	148	66572025	-	XC_0350	-	-	conserved hypothetical protein
410543..411376	-	277	66572026	-	XC_0351	-	-	conserved hypothetical protein
411490..411786	+	98	66572027	-	XC_0352	-	-	xanthomonadin biosynthesis related protein 1
413024..413287	+	87	66572028	-	XC_0353	-	-	xanthomonadin biosynthesis related protein
413352..413600	-	82	66572029	-	XC_0354	-	-	conserved hypothetical protein
413830..414813	+	327	66572030	-	XC_0355	-	-	site-specific recombinase
415081..416919	-	612	66572031	-	XC_0356	-	-	dihydroxy-acid dehydratase
417331..417597	+	88	66572032	-	XC_0357	-	-	proteinase inhibitor
417670..417861	-	63	66572033	-	XC_0358	-	-	hypothetical protein
418002..418898	-	298	66572034	-	XC_0359	-	-	conserved hypothetical protein
418980..419540	-	186	66572035	-	XC_0360	-	-	transferase
420413..421723	+	436	66572036	-	XC_0361	-	-	MFS transporter
421872..423113	+	413	66572037	-	XC_0362	-	-	conserved hypothetical protein
423866..424342	+	158	66572038	-	XC_0363	-	-	transcriptional regulator marR family
424465..424875	+	136	66572039	-	XC_0364	-	-	conserved hypothetical protein
424908..425675	+	255	66572040	-	XC_0365	-	-	3-alpha-hydroxysteroid dehydrogenase
425682..427193	+	503	66572041	-	XC_0366	-	-	benzaldehyde dehydrogenase II
427221..428117	-	298	66572042	-	XC_0367	-	-	PobR regulator
428211..429395	+	394	66572043	-	XC_0368	-	-	P-hydroxybenzoate hydroxylase
429414..430124	+	236	66572044	-	XC_0369	-	-	conserved hypothetical protein
430240..431739	-	499	66572045	-	XC_0370	-	-	glycerol kinase
431807..432631	-	274	66572046	-	XC_0371	-	-	glycerol uptake facilitator protein
432816..434342	-	508	66572047	-	XC_0372	-	-	glycerol-3-phosphate dehydrogenase
434691..435470	-	259	66572048	-	XC_0373	-	-	glycerol-3-phosphate regulon repressor
435747..436730	-	327	66572049	-	XC_0374	-	-	phenoxybenzoate dioxygenase beta subunit
436878..437954	-	358	66572050	-	XC_0375	-	-	vanillate O-demethylase oxygenase subunit
438208..439071	+	287	66572051	-	XC_0376	-	-	glutaconate CoA transferase subunit A
439068..439856	+	262	66572052	-	XC_0377	-	-	glutaconate CoA transferase subunit B
