query_name,Length,cog_myva,COG_category,COG,description,Evalue,Identities,QueryLength,LengthQuery
XC_0012,255,,,COG0854,gi|188574282|ref|YP_001911211.1| pyridoxine 5'-phosphate synthase [Xanthomonas oryzae pv. oryzae PXO99A],5E-146,0.828,256,250
XC_0013,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0014,486,,,COG1502,gi|188574284|ref|YP_001911213.1| cardiolipin synthetase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.901234567901235,486,486
XC_0015,358,,,COG1533,gi|357415886|ref|YP_004928906.1| radical SAM protein [Pseudoxanthomonas spadix BD-a59],0,0.75,364,358
XC_0016,243,,,COG3751,gi|256821414|ref|YP_003145377.1| 2OG-Fe(II) oxygenase [Kangiella koreensis DSM 16069],8E-59,0.419213973799127,256,229
XC_0017,446,,,COG2067,gi|188579200|ref|YP_001916129.1| outer membrane protein [Xanthomonas oryzae pv. oryzae PXO99A],0,0.910313901345291,446,446
XC_0018,214,,,COG0705,"gi|188579201|ref|YP_001916130.1| peptidase, S54 (rhomboid) family [Xanthomonas oryzae pv. oryzae PXO99A]",1E-136,0.962616822429907,230,214
XC_0019,106,,,COG4517,gi|188579202|ref|YP_001916131.1| hypothetical protein PXO_03549 [Xanthomonas oryzae pv. oryzae PXO99A],2E-66,0.924528301886792,106,106
XC_0020,330,,,COG0111,gi|188579203|ref|YP_001916132.1| D-3-phosphoglycerate dehydrogenase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.833333333333333,328,324
XC_0021,507,,,COG0793,gi|188579204|ref|YP_001916133.1| carboxyl-terminal protease [Xanthomonas oryzae pv. oryzae PXO99A],0,0.901010101010101,526,495
XC_0022,411,,,COG4942,gi|188579205|ref|YP_001916134.1| M23 peptidase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.896296296296296,405,405
XC_0023,196,,,COG3595,gi|188579206|ref|YP_001916135.1| hypothetical protein PXO_03545 [Xanthomonas oryzae pv. oryzae PXO99A],1E-107,0.835897435897436,218,195
XC_0024,603,,,COG2234,gi|188579207|ref|YP_001916136.1| peptidase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.899827288428325,594,579
XC_0025,158,,,COG5591,gi|56707261|ref|YP_169157.1| hypothetical protein FTT_0083 [Francisella tularensis subsp. tularensis SCHU S4],1E-08,0.25,143,143
XC_0026,376,,,COG2730,gi|188579115|ref|YP_001916044.1| endoglucanase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.80466472303207,349,343
XC_0027,333,,,COG2730,gi|188579117|ref|YP_001916046.1| endoglucanase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.753012048192771,350,332
XC_0028,347,,,COG2730,gi|188579118|ref|YP_001916047.1| endoglucanase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.851735015772871,354,317
XC_0029,352,,,COG1064,gi|188579120|ref|YP_001916049.1| alcohol dehydrogenase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.951704545454545,352,352
XC_0030,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0031,493,,,COG0493,gi|188574442|ref|YP_001911371.1| glutamate synthase subunit beta [Xanthomonas oryzae pv. oryzae PXO99A],0,0.953346855983773,493,493
XC_0032,1462,,,COG0067; COG0069; COG0070,gi|188574441|ref|YP_001911370.1| glutamate synthase subunit alpha [Xanthomonas oryzae pv. oryzae PXO99A],0,0.974008207934337,1490,1462
XC_0033,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0034,417,,,COG3569,gi|188574438|ref|YP_001911367.1| DNA topoisomerase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.891891891891892,394,325
XC_0035,198,,,COG3963,gi|389874671|ref|YP_006374027.1| type 12 methyltransferase [Tistrella mobilis KA081020-065],1E-55,0.508108108108108,192,185
XC_0036,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0037,286,,,COG1741,gi|538397599|ref|YP_008519172.1| putative pirin [Variovorax paradoxus B4],8E-126,0.680147058823529,277,272
XC_0040,310,,,COG0583,"gi|538397601|ref|YP_008519174.1| transcriptional regulator, LysR family [Variovorax paradoxus B4]",2E-132,0.653198653198653,300,297
XC_0041,96,,,COG1359,gi|256423780|ref|YP_003124433.1| antibiotic biosynthesis monooxygenase [Chitinophaga pinensis DSM 2588],9E-19,0.428571428571429,101,91
XC_0042,227,,,COG0693,gi|116250079|ref|YP_765917.1| DJ-1/PfPI family protein [Rhizobium leguminosarum bv. viciae 3841],1E-97,0.639269406392694,225,219
XC_0043,307,,,COG0583,gi|300311868|ref|YP_003775960.1| LysR family transcription regulator protein [Herbaspirillum seropedicae SmR1],1E-41,0.365384615384615,296,304
XC_0044,205,,,COG1309,gi|383316345|ref|YP_005377187.1| transcriptional regulator [Frateuria aurantia DSM 6220],3E-43,0.616,189,125
XC_0045,128,,,COG3682,gi|469819824|ref|YP_007591908.1| putative transcriptional regulator [Rhodanobacter denitrificans],2E-62,0.75,128,128
XC_0046,637,,,COG3064; COG4219,gi|332662844|ref|YP_004445632.1| peptidase M56 BlaR1 [Haliscomenobacter hydrossis DSM 1100],3E-12,0.223367697594502,570,542
XC_0047,639,,,COG4219,gi|469819825|ref|YP_007591909.1| antirepressor regulating drug resistance protein [Rhodanobacter denitrificans],4E-06,0.289099526066351,283,211
XC_0048,457,,,COG1748,gi|188574434|ref|YP_001911363.1| saccharopine dehydrogenase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.842245989304813,376,374
XC_0049,261,,,COG5255,gi|188574433|ref|YP_001911362.1| hypothetical protein PXO_03326 [Xanthomonas oryzae pv. oryzae PXO99A],7E-140,0.748091603053435,262,261
XC_0050,862,,,COG1629; COG4771,gi|188574432|ref|YP_001911361.1| TonB-dependent receptor [Xanthomonas oryzae pv. oryzae PXO99A],0,0.866430260047281,887,846
XC_0051,382,,,COG2512; COG1940,gi|188574431|ref|YP_001911360.1| ROK family protein [Xanthomonas oryzae pv. oryzae PXO99A],0,0.853403141361257,385,382
XC_0052,660,,,COG0584,gi|188574429|ref|YP_001911358.1| avirulence protein AvrBs2 [Xanthomonas oryzae pv. oryzae PXO99A],0,0.77190332326284,718,659
XC_0053,606,,,COG3359,gi|188574427|ref|YP_001911356.1| hypothetical protein PXO_03332 [Xanthomonas oryzae pv. oryzae PXO99A],8E-173,0.778425655976676,321,343
XC_0054,831,,,COG1111; COG1205,gi|188574426|ref|YP_001911355.1| ATP-dependent RNA helicase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.966334164588529,802,802
XC_0055,382,,,COG3177,gi|543962852|ref|YP_008545887.1| Fic family protein [Sulfuricella denitrificans skB26],0,0.647368421052632,382,380
XC_0056,220,,,COG1272,gi|188574425|ref|YP_001911354.1| hemolysin III [Xanthomonas oryzae pv. oryzae PXO99A],6E-132,0.849315068493151,220,219
XC_0057,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0058,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0059,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0060,206,,,COG2249,gi|311108645|ref|YP_003981498.1| NADPH-dependent FMN reductase family protein 3 [Achromobacter xylosoxidans A8],1E-76,0.672514619883041,172,169
XC_0061,106,,,COG3631,gi|116248962|ref|YP_764803.1| hypothetical protein pRL120293 [Rhizobium leguminosarum bv. viciae 3841],1E-09,0.444444444444444,113,63
XC_0062,108,,,COG1733,gi|157145109|ref|YP_001452428.1| hypothetical protein CKO_00842 [Citrobacter koseri ATCC BAA-895],2E-52,0.728971962616822,116,107
XC_0063,354,,,COG1192,gi|428218472|ref|YP_007102937.1| cobyrinic acid ac-diamide synthase [Pseudanabaena sp. PCC 7367],1E-119,0.512893982808023,362,345
XC_0064,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0065,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0066,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0067,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0068,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0069,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0070,192,,,COG0262,gi|375145351|ref|YP_005007792.1| bifunctional deaminase-reductase domain-containing protein [Niastella koreensis GR20-10],4E-54,0.451456310679612,208,190
XC_0071,60,,,COG3237,gi|389875724|ref|YP_006373459.1| hypothetical protein TMO_a0472 [Tistrella mobilis KA081020-065],8E-14,0.559322033898305,62,59
XC_0072,496,,,COG2197,gi|15595730|ref|NP_249224.1| transcriptional regulator [Pseudomonas aeruginosa PAO1],4E-23,0.671875,65,64
XC_0073,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0074,358,,,COG1639,gi|190575388|ref|YP_001973233.1| hypothetical protein Smlt3522 [Stenotrophomonas maltophilia K279a],4E-45,0.419014084507042,293,273
XC_0075,148,,,COG3832,gi|469818565|ref|YP_007590649.1| hypothetical protein R2APBS1_2318 [Rhodanobacter denitrificans],7E-56,0.678571428571429,179,140
XC_0076,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0077,507,,,COG3227,gi|317123183|ref|YP_004097295.1| peptidase M4 thermolysin [Intrasporangium calvum DSM 43043],1E-120,0.5625,358,368
XC_0078,218,,,COG0702,gi|220913493|ref|YP_002488802.1| NAD-dependent epimerase/dehydratase [Arthrobacter chlorophenolicus A6],1E-79,0.61214953271028,218,214
XC_0079,149,,,COG1051,gi|188574312|ref|YP_001911241.1| MutT-nudix family protein [Xanthomonas oryzae pv. oryzae PXO99A],2E-67,0.736111111111111,144,144
XC_0080,391,,,COG0628,gi|209963738|ref|YP_002296653.1| hypothetical protein RC1_0400 [Rhodospirillum centenum SW],1E-72,0.428184281842818,346,369
XC_0081,348,,,COG0657,gi|94967520|ref|YP_589568.1| Alpha/beta hydrolase [Candidatus Koribacter versatilis Ellin345],4E-51,0.367601246105919,329,299
XC_0082,132,,,COG5622,gi|188574310|ref|YP_001911239.1| AtsE [Xanthomonas oryzae pv. oryzae PXO99A],2E-74,0.840909090909091,132,132
XC_0083,90,,,COG0526,gi|188574309|ref|YP_001911238.1| thioredoxin [Xanthomonas oryzae pv. oryzae PXO99A],4E-50,0.822222222222222,110,90
XC_0084,509,,,COG0477,gi|190574628|ref|YP_001972473.1| proline/betaine transporter [Stenotrophomonas maltophilia K279a],0,0.84472049689441,496,481
XC_0085,161,,,COG3832,gi|188574305|ref|YP_001911234.1| hypothetical protein PXO_03445 [Xanthomonas oryzae pv. oryzae PXO99A],2E-55,0.68503937007874,136,127
XC_0086,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0087,198,,,COG0500,gi|469819735|ref|YP_007591819.1| putative S-adenosylmethionine-dependent methyltransferase [Rhodanobacter denitrificans],7E-74,0.60377358490566,212,195
XC_0088,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0089,737,,,COG0803,gi|255035858|ref|YP_003086479.1| hypothetical protein Dfer_2091 [Dyadobacter fermentans DSM 18053],2E-56,0.305691056910569,780,572
XC_0090,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0091,298,,,COG1721,gi|357418082|ref|YP_004931102.1| hypothetical protein DSC_12085 [Pseudoxanthomonas spadix BD-a59],4E-124,0.700704225352113,298,284
XC_0092,330,,,COG0714,gi|357418083|ref|YP_004931103.1| methanol dehydrogenase regulator [Pseudoxanthomonas spadix BD-a59],0,0.834862385321101,330,327
XC_0093,814,,,COG1657,gi|325108990|ref|YP_004270058.1| prenyltransferase/squalene oxidase [Planctomyces brasiliensis DSM 5305],4E-16,0.289855072463768,227,204
XC_0094,444,,,COG0312,gi|190572209|ref|YP_001970054.1| modulator of DNA gyrase [Stenotrophomonas maltophilia K279a],0,0.864864864864865,444,444
XC_0096,544,,,COG0312,gi|357418086|ref|YP_004931106.1| TldD protein [Pseudoxanthomonas spadix BD-a59],0,0.851102941176471,558,544
XC_0097,543,,,COG0312,gi|190572211|ref|YP_001970056.1| peptidase/modulator of DNA gyrase [Stenotrophomonas maltophilia K279a],0,0.75717017208413,526,523
XC_0098,336,,,COG0158,"gi|188574285|ref|YP_001911214.1| fructose-1,6-bisphosphatase [Xanthomonas oryzae pv. oryzae PXO99A]",0,0.961309523809524,338,336
XC_0099,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0100,400,,,COG1448,gi|188574286|ref|YP_001911215.1| aromatic amino acid aminotransferase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.967418546365915,400,399
XC_0101,712,,,COG4772,gi|188574287|ref|YP_001911216.1| TonB-dependent outer membrane Receptor [Xanthomonas oryzae pv. oryzae PXO99A],0,0.893108298171589,727,711
XC_0102,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0103,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0104,509,,,COG1012,gi|357416002|ref|YP_004929022.1| NAD-dependent aldehyde dehydrogenase [Pseudoxanthomonas spadix BD-a59],0,0.915520628683694,509,509
XC_0105,123,,,COG3564,gi|357416000|ref|YP_004929020.1| hypothetical protein DSC_01630 [Pseudoxanthomonas spadix BD-a59],5E-72,0.882352941176471,130,119
XC_0106,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0107,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0108,306,,,COG1273,gi|190572138|ref|YP_001969983.1| Ku domain-containing protein [Stenotrophomonas maltophilia K279a],5E-169,0.766773162939297,313,306
XC_0109,830,,,COG3285; COG1793,gi|357418671|ref|YP_004931691.1| DNA ligase D [Pseudoxanthomonas spadix BD-a59],0,0.658181818181818,1001,540
XC_0110,388,,,COG1304,gi|188574291|ref|YP_001911220.1| L-lactate dehydrogenase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.950391644908616,386,383
XC_0111,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0112,189,,,COG2020,gi|322435706|ref|YP_004217918.1| isoprenylcysteine carboxyl methyltransferase [Granulicella tundricola MP5ACTX9],8E-25,0.373684210526316,214,189
XC_0113,366,,,COG4585,gi|190576053|ref|YP_001973898.1| two-component sensor histidine kinase [Stenotrophomonas maltophilia K279a],9E-105,0.616847826086957,409,366
XC_0114,212,,,COG2197,gi|190576052|ref|YP_001973897.1| LuxR family two-component response regulator [Stenotrophomonas maltophilia K279a],8E-113,0.808612440191388,210,209
XC_0115,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0116,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0117,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0118,1124,,,COG3710; COG0457; COG1132,gi|109896731|ref|YP_659986.1| transcriptional regulator CadC [Pseudoalteromonas atlantica T6c],3E-152,0.311942959001783,1113,1098
XC_0119,405,,,COG3007,gi|188574295|ref|YP_001911224.1| trans-2-enoyl-CoA reductase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.923267326732673,402,404
XC_0120,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0121,437,,,COG2755,gi|160897969|ref|YP_001563551.1| GDSL family lipase [Delftia acidovorans SPH-1],3E-83,0.419953596287703,417,422
XC_0122,340,,,COG0524,gi|188574298|ref|YP_001911227.1| 2-keto-3-deoxygluconate kinase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.944117647058824,340,340
XC_0123,998,,,COG1629; COG4771,gi|197105921|ref|YP_002131298.1| TonB-dependent receptor [Phenylobacterium zucineum HLK1],0,0.440677966101695,922,996
XC_0124,997,,,COG1629; COG4771,gi|302383562|ref|YP_003819385.1| TonB-dependent receptor [Brevundimonas subvibrioides ATCC 15264],0,0.442379182156134,1066,982
XC_0125,2693,,,COG3866; COG4677,gi|375148506|ref|YP_005010947.1| pectinesterase [Niastella koreensis GR20-10],7E-47,0.364383561643836,325,364
XC_0126,563,,,COG2755,gi|116620221|ref|YP_822377.1| pectate lyase [Candidatus Solibacter usitatus Ellin6076],5E-73,0.450310559006211,347,316
XC_0127,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0128,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0129,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0130,310,,,COG4249,gi|383764833|ref|YP_005443815.1| hypothetical protein CLDAP_38780 [Caldilinea aerophila DSM 14535 = NBRC 104270],1E-09,0.424242424242424,85,66
XC_0131,450,,,COG4916,gi|392375370|ref|YP_003207203.1| hypothetical protein DAMO_2324 [Candidatus Methylomirabilis oxyfera],8E-14,0.363636363636364,231,127
XC_0132,147,,,COG2131,gi|383316536|ref|YP_005377378.1| deoxycytidylate deaminase [Frateuria aurantia DSM 6220],7E-33,0.476190476190476,150,143
XC_0133,322,,,COG3039,gi|188577247|ref|YP_001914176.1| ISXo1 transposase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.922360248447205,326,322
XC_0136,1513,,,COG3209,gi|190576237|ref|YP_001974082.1| Rhs family exported protein [Stenotrophomonas maltophilia K279a],0,0.446153846153846,1414,1407
XC_0137,486,,,COG3039,gi|188576395|ref|YP_001913324.1| ISXoo4 transposase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.850549450549451,474,455
XC_0139,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0140,210,,,COG3774,gi|188576281|ref|YP_001913210.1| hypothetical protein PXO_00529 [Xanthomonas oryzae pv. oryzae PXO99A],2E-51,0.738317757009346,110,107
XC_0141,1038,,,COG0366,gi|188574463|ref|YP_001911392.1| alpha-amylase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.886847195357834,1033,1033
XC_0142,1101,,,COG3281; COG0366,gi|188574462|ref|YP_001911391.1| alpha-amylase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.940909090909091,1116,1100
XC_0143,727,,,COG0296,gi|188574461|ref|YP_001911390.1| glycogen branching protein [Xanthomonas oryzae pv. oryzae PXO99A],0,0.924033149171271,724,724
XC_0144,280,,,COG3293,gi|158318511|ref|YP_001511019.1| transposase IS4 family protein [Frankia sp. EAN1pec],8E-29,0.383783783783784,172,183
XC_0146,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0147,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0148,519,,,COG3182,gi|190575254|ref|YP_001973099.1| transmembrane protein [Stenotrophomonas maltophilia K279a],1E-114,0.45697896749522,511,512
XC_0149,158,,,COG0622,gi|337278567|ref|YP_004618038.1| hypothetical protein Rta_09340 [Ramlibacter tataouinensis TTB310],9E-51,0.602649006622517,167,151
XC_0150,378,,,COG0667,gi|226945442|ref|YP_002800515.1| aldo/keto reductase [Azotobacter vinelandii DJ],0,0.709770114942529,349,347
XC_0151,308,,,COG2755,gi|315498400|ref|YP_004087204.1| G-D-S-L family lipolytic protein [Asticcacaulis excentricus CB 48],8E-117,0.639097744360902,304,257
XC_0152,533,,,COG2272,gi|192359820|ref|YP_001984051.1| carboxylesterase type B [Cellvibrio japonicus Ueda107],0,0.716904276985743,492,491
XC_0153,318,,,COG0657,gi|470154595|ref|YP_006283097.1| Pectin acetylesterase [Pectobacterium sp. SCC3193],2E-115,0.577702702702703,329,294
XC_0154,272,,,COG3971,gi|16125756|ref|NP_420320.1| 2-keto-4-pentenoate hydratase [Caulobacter crescentus CB15],4E-72,0.471698113207547,273,265
XC_0155,343,,,COG1638,gi|158424962|ref|YP_001526254.1| C4-dicarboxylate-binding protein [Azorhizobium caulinodans ORS 571],8E-87,0.410876132930514,332,326
XC_0156,188,,,COG3090,gi|158424961|ref|YP_001526253.1| C4-dicarboxylate transport small permease [Azorhizobium caulinodans ORS 571],8E-28,0.455284552845528,137,123
XC_0157,426,,,COG1593,gi|221639916|ref|YP_002526178.1| TRAP dicarboxylate transporter subunit DctM [Rhodobacter sphaeroides KD131],4E-158,0.582159624413146,427,426
XC_0158,537,,,COG3507,gi|103488518|ref|YP_618079.1| twin-arginine translocation pathway signal [Sphingopyxis alaskensis RB2256],0,0.607003891050584,526,508
XC_0159,342,,,COG1609,gi|188574455|ref|YP_001911384.1| LacI family transcriptional regulator [Xanthomonas oryzae pv. oryzae PXO99A],0,0.973684210526316,355,342
XC_0160,287,,,COG3717,gi|315499138|ref|YP_004087942.1| 4-deoxy-l-threo-5-hexosulose-uronate ketol-isomerase [Asticcacaulis excentricus CB 48],4E-148,0.74822695035461,284,282
XC_0161,251,,,COG1028,gi|315499137|ref|YP_004087941.1| 2-deoxy-d-gluconate 3-dehydrogenase [Asticcacaulis excentricus CB 48],1E-144,0.820717131474104,251,251
XC_0162,185,,,COG0698,gi|188579135|ref|YP_001916064.1| hypothetical protein PXO_03282 [Xanthomonas oryzae pv. oryzae PXO99A],3E-126,0.961538461538462,218,182
XC_0163,278,,,COG2755,gi|375009048|ref|YP_004982681.1| Lipolytic protein G-D-S-L [Geobacillus thermoleovorans CCB_US3_UF5],2E-50,0.448430493273543,364,222
XC_0164,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0165,296,,,COG3186,gi|188579131|ref|YP_001916060.1| phenylalanine 4-monooxygenase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.905405405405405,296,296
XC_0166,189,,,COG1522,gi|188579130|ref|YP_001916059.1| AsnC family transcriptional regulator [Xanthomonas oryzae pv. oryzae PXO99A],5E-98,0.95625,160,160
XC_0167,735,,,COG4773,"gi|190573258|ref|YP_001971103.1| TonB-dependent receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid [Stenotrophomonas maltophilia K279a]",0,0.712871287128713,746,700
XC_0168,345,,,COG1752,gi|188574530|ref|YP_001911459.1| lipoprotein [Xanthomonas oryzae pv. oryzae PXO99A],0,0.918840579710145,345,345
XC_0169,336,,,COG2013,gi|188574531|ref|YP_001911460.1| hypothetical protein PXO_03595 [Xanthomonas oryzae pv. oryzae PXO99A],4E-159,0.9198606271777,287,285
XC_0170,290,,,COG1119,gi|188574532|ref|YP_001911461.1| ABC transporter ATP-binding protein [Xanthomonas oryzae pv. oryzae PXO99A],7E-150,0.888461538461538,278,260
XC_0171,405,,,COG1398,gi|188574533|ref|YP_001911462.1| fatty acid desaturase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.926701570680628,383,382
XC_0172,112,,,COG5126,gi|188574534|ref|YP_001911463.1| EF hand domain-containing protein [Xanthomonas oryzae pv. oryzae PXO99A],9E-61,0.88785046728972,117,106
XC_0173,260,,,COG1125,gi|188574535|ref|YP_001911464.1| ABC transporter ATP-binding protein [Xanthomonas oryzae pv. oryzae PXO99A],1E-152,0.889795918367347,245,245
XC_0174,489,,,COG1732; COG1174,gi|188574536|ref|YP_001911465.1| ABC transporter amino acid permease [Xanthomonas oryzae pv. oryzae PXO99A],0,0.901840490797546,490,488
XC_0175,393,,,COG0520,gi|188574537|ref|YP_001911466.1| class V aminotransferase [Xanthomonas oryzae pv. oryzae PXO99A],6E-95,0.721951219512195,223,205
XC_0176,412,,,COG1262,gi|188574538|ref|YP_001911467.1| hypothetical protein PXO_03588 [Xanthomonas oryzae pv. oryzae PXO99A],0,0.89051094890511,427,411
XC_0177,328,,,COG4301,gi|188574539|ref|YP_001911468.1| hypothetical protein PXO_03587 [Xanthomonas oryzae pv. oryzae PXO99A],0,0.911585365853659,328,328
XC_0178,136,,,COG4338,gi|322437352|ref|YP_004219564.1| hypothetical protein AciX9_3784 [Granulicella tundricola MP5ACTX9],1E-05,0.428571428571429,90,84
XC_0179,1235,,,COG1014; COG4231,gi|188574542|ref|YP_001911471.1| indolepyruvate ferredoxin oxidoreductase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.892436974789916,1190,1189
XC_0180,211,,,COG3063,gi|190572216|ref|YP_001970061.1| hypothetical protein Smlt0137 [Stenotrophomonas maltophilia K279a],1E-51,0.526315789473684,212,170
XC_0181,305,,,COG0679,gi|188574545|ref|YP_001911474.1| malate permease [Xanthomonas oryzae pv. oryzae PXO99A],0,0.914754098360656,305,305
XC_0182,0,,,,HITS_NOT_FOUND,0,0,0,0
XC_0183,210,,,COG1192,gi|188574546|ref|YP_001911475.1| partition protein [Xanthomonas oryzae pv. oryzae PXO99A],7E-144,0.961904761904762,210,210
XC_0184,158,,,COG2062,gi|188574547|ref|YP_001911476.1| phosphoglycerate mutase [Xanthomonas oryzae pv. oryzae PXO99A],3E-102,0.949367088607595,158,158
XC_0185,166,,,COG2353,gi|188574548|ref|YP_001911477.1| YceI like family [Xanthomonas oryzae pv. oryzae PXO99A],1E-96,0.813253012048193,190,166
XC_0186,663,,,COG1502,gi|188574549|ref|YP_001911478.1| cardiolipin synthase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.879518072289157,660,663
XC_0187,142,,,COG2050,gi|188574550|ref|YP_001911479.1| esterase YdiI [Xanthomonas oryzae pv. oryzae PXO99A],1E-86,0.887323943661972,144,142
XC_0188,243,,,COG0204,gi|188574551|ref|YP_001911480.1| acetyltransferase [Xanthomonas oryzae pv. oryzae PXO99A],3E-147,0.904761904761905,267,231
XC_0189,329,,,COG0429,gi|188574552|ref|YP_001911481.1| alpha/beta hydrolase [Xanthomonas oryzae pv. oryzae PXO99A],0,0.904615384615385,328,325
XC_0190,690,,,COG0457,gi|188574553|ref|YP_001911482.1| hypothetical protein PXO_03573 [Xanthomonas oryzae pv. oryzae PXO99A],0,0.907246376811594,690,690
XC_0191,203,,,COG1881,gi|188574554|ref|YP_001911483.1| hypothetical protein PXO_03572 [Xanthomonas oryzae pv. oryzae PXO99A],3E-129,0.87192118226601,203,203
XC_0192,265,,,COG3187,gi|188574556|ref|YP_001911485.1| hypothetical protein PXO_03570 [Xanthomonas oryzae pv. oryzae PXO99A],1E-111,0.632352941176471,274,263
XC_0193,265,,,COG1968,gi|188574558|ref|YP_001911487.1| undecaprenyl pyrophosphate phosphatase [Xanthomonas oryzae pv. oryzae PXO99A],5E-160,0.932270916334661,263,251
